         k_x          k_y          k_z           r_b1         r_b2         r_b3     flat index
  0.23690598   0.13677773   0.00000000     0.26732673  -0.00000000   0.00000000     1.12429842
  0.23251883   0.13424481   0.00000000     0.26237624  -0.00000000   0.00000000     1.12936426
  0.22813168   0.13171189   0.00000000     0.25742574  -0.00000000   0.00000000     1.13443010
  0.22374454   0.12917897   0.00000000     0.25247525  -0.00000000   0.00000000     1.13949595
  0.21935739   0.12664605   0.00000000     0.24752475  -0.00000000   0.00000000     1.14456179
  0.21497024   0.12411313   0.00000000     0.24257426  -0.00000000   0.00000000     1.14962763
  0.21058309   0.12158021   0.00000000     0.23762376  -0.00000000   0.00000000     1.15469347
  0.20619595   0.11904728   0.00000000     0.23267327  -0.00000000   0.00000000     1.15975931
  0.20180880   0.11651436   0.00000000     0.22772277  -0.00000000   0.00000000     1.16482516
  0.19742165   0.11398144   0.00000000     0.22277228  -0.00000000   0.00000000     1.16989100
  0.19303450   0.11144852   0.00000000     0.21782178  -0.00000000   0.00000000     1.17495684
  0.18864735   0.10891560   0.00000000     0.21287129  -0.00000000   0.00000000     1.18002268
  0.18426021   0.10638268   0.00000000     0.20792079  -0.00000000   0.00000000     1.18508852
  0.17987306   0.10384976   0.00000000     0.20297030  -0.00000000   0.00000000     1.19015437
  0.17548591   0.10131684   0.00000000     0.19801980  -0.00000000   0.00000000     1.19522021
  0.17109876   0.09878392   0.00000000     0.19306931  -0.00000000   0.00000000     1.20028605
  0.16671162   0.09625100   0.00000000     0.18811881  -0.00000000   0.00000000     1.20535189
  0.16232447   0.09371808   0.00000000     0.18316832  -0.00000000   0.00000000     1.21041773
  0.15793732   0.09118515   0.00000000     0.17821782  -0.00000000   0.00000000     1.21548358
  0.15355017   0.08865223   0.00000000     0.17326733  -0.00000000   0.00000000     1.22054942
  0.14916302   0.08611931   0.00000000     0.16831683  -0.00000000   0.00000000     1.22561526
  0.14477588   0.08358639   0.00000000     0.16336634  -0.00000000   0.00000000     1.23068110
  0.14038873   0.08105347   0.00000000     0.15841584  -0.00000000   0.00000000     1.23574694
  0.13600158   0.07852055   0.00000000     0.15346535  -0.00000000   0.00000000     1.24081278
  0.13161443   0.07598763   0.00000000     0.14851485  -0.00000000   0.00000000     1.24587863
  0.12722729   0.07345471   0.00000000     0.14356436  -0.00000000   0.00000000     1.25094447
  0.12284014   0.07092179   0.00000000     0.13861386  -0.00000000   0.00000000     1.25601031
  0.11845299   0.06838887   0.00000000     0.13366337  -0.00000000   0.00000000     1.26107615
  0.11406584   0.06585594   0.00000000     0.12871287  -0.00000000   0.00000000     1.26614199
  0.10967869   0.06332302   0.00000000     0.12376238  -0.00000000   0.00000000     1.27120784
  0.10529155   0.06079010   0.00000000     0.11881188  -0.00000000   0.00000000     1.27627368
  0.10090440   0.05825718   0.00000000     0.11386139  -0.00000000   0.00000000     1.28133952
  0.09651725   0.05572426   0.00000000     0.10891089  -0.00000000   0.00000000     1.28640536
  0.09213010   0.05319134   0.00000000     0.10396040  -0.00000000   0.00000000     1.29147120
  0.08774296   0.05065842   0.00000000     0.09900990  -0.00000000   0.00000000     1.29653705
  0.08335581   0.04812550   0.00000000     0.09405941  -0.00000000   0.00000000     1.30160289
